,Cities,Population,Elevation,AQI,Latitude,Longitude,PM25,PM10,O3
0,Tokyo,8336599.0,44.0,34,35.64146289999999,139.6981712,30.0,29.0,1.0
1,Jakarta,8540121.0,16.0,74,-6.182536,106.834236,74.0,78.0,1.0
2,New York ,8175133.0,10.0,114,40.7127837,-74.00594129999999,114.0,50.0,2.0
3,Seoul,10349312.0,38.0,68,37.566534999999995,126.9779692,68.0,23.0,1.0
4,Mumbai ,12691836.0,8.0,173,19.07283,72.88261,173.0,46.0,9.0
5,Sao Paulo,10021295.0,769.0,23,-23.544845659,-46.627675591999996,13.0,80.0,18.0
6,Mexico City,12294193.0,2240.0,114,19.42461,-99.11959399999999,114.0,52.0,13.0
7,Delhi,10927986.0,227.0,237,28.635759999999998,77.22445,237.0,73.0,7.0
8,Osaka,2592413.0,24.0,30,34.693737799999994,135.50216509999998,30.0,14.0,1.0
9,Kolkata ,4631392.0,11.0,192,22.56263,88.36304,192.0,69.0,9.0
10,Los Angeles ,3971883.0,89.0,64,34.06653,-118.22676000000001,57.0,60.0,4.0
11,Shanghai,22315474.0,12.0,76,31.204737199999997,121.4489017,76.0,123.0,1.0
12,Moscow,10381222.0,144.0,12,55.759354,37.595584,21.0,28.0,5.0
13,Beijing ,11716620.0,49.0,15,39.954592,116.46811699999999,13.0,57.0,1.0
14,Buenos Aires,13076300.0,31.0,42,-34.657988,-58.342538,42.0,5.0,2.0
15,Shenzhen,10358381.0,4.0,91,22.543098999999998,114.057868,91.0,28.0,9.0
16,Istanbul,14804116.0,39.0,24,41.014722,28.954721999999997,68.0,22.0,23.0
17,Paris,2138551.0,42.0,22,48.856614,2.3522218999999995,31.0,11.0,20.0
18,Karachi,11624219.0,8.0,267,24.8415,67.0091,267.0,58.0,5.0
19,Nagoya,2191279.0,23.0,26,35.1814464,136.906398,17.0,18.0,2.0
20,Chicago ,2720546.0,179.0,33,41.9136,-87.7239,33.0,10.0,8.0
21,Lagos,9000000.0,11.0,33,6.4404830932617,3.4068150520325,33.0,65.0,3.0
22,London,7556900.0,25.0,17,51.5073509,-0.12775830000000002,17.0,9.0,18.0
23,Bangkok,5104476.0,12.0,114,13.7563309,100.5017651,114.0,54.0,6.0
24,Tehran,7153309.0,1178.0,163,35.686719000000004,51.422419,163.0,62.0,1.0
25,Lima,7737002.0,152.0,130,-11.981639999999999,-76.99925,130.0,22.0,3.0
26,Dongguan,8000000.0,1.0,72,23.020536,113.75176499999999,72.0,28.0,6.0
27,Bogota,7674366.0,2582.0,13,4.5725,-74.0836,13.0,23.0,5.0
28,Chennai ,4328063.0,14.0,114,13.08784,80.27847,114.0,19.0,8.0
29,Dhaka,10356500.0,23.0,199,23.796373000000003,90.424614,199.0,52.0,9.0
30,Tianjin ,11090314.0,11.0,42,39.084158,117.20098300000001,42.0,31.0,1.0
31,Hong Kong,7012738.0,60.0,70,22.2796569,114.17198729999998,70.0,31.0,5.0
32,Taipei,7871900.0,10.0,65,25.062361,121.526528,65.0,19.0,14.0
33,Lahore,6310888.0,216.0,158,31.560078000000004,74.33589,158.0,88.0,5.0
34,Ho Chi Minh City ,3467331.0,7.0,68,10.782978,106.70071100000001,68.0,29.0,2.0
35,Bangalore,5104047.0,920.0,59,12.938539,77.5901,59.0,21.0,5.0
36,Hyderabad,3597816.0,515.0,159,17.38405,78.45636,159.0,57.0,16.0
37,Hyderabad,3597816.0,515.0,159,17.38405,78.45636,159.0,57.0,16.0
38,Hyderabad,3597816.0,515.0,159,17.38405,78.45636,159.0,57.0,16.0
39,Hyderabad,3597816.0,515.0,159,17.38405,78.45636,159.0,57.0,16.0
40,Johannesburg,2026469.0,1767.0,-,-26.178666,28.13314,91.0,9.0,5.0
41,Baghdad,7216000.0,41.0,170,33.3128,44.3615,170.0,39.0,9.0
42,Toronto,2600000.0,175.0,25,43.653226000000004,-79.3831843,25.0,8.0,9.0
43,Santiago,4837295.0,556.0,53,-33.464141999999995,-70.660797,38.0,46.0,11.0
44,San Francisco ,864816.0,16.0,55,37.76595,-122.39902,55.0,63.0,2.0
45,Philadelphia ,1567442.0,12.0,23,39.934635,-75.126126,23.0,22.0,5.0
46,Miami ,441003.0,2.0,26,25.794722222222,-80.21555555555601,26.0,25.0,8.0
47,Madrid,3255944.0,665.0,34,40.4167754,-3.7037902000000003,34.0,22.0,11.0
48,Ahmedabad,3719710.0,56.0,152,22.9987886,72.6029661,152.0,52.0,11.0
49,Boston ,667137.0,14.0,24,42.358430799999994,-71.05977320000001,17.0,5.0,11.0
50,Khartoum,1974647.0,381.0,166,15.5007,32.5599,166.0,142.0,15.0
51,Shenyang,6255921.0,53.0,55,41.805698,123.431475,55.0,46.0,2.0
52,Pune,2935744.0,554.0,232,18.529603,73.849586,232.0,46.0,15.0
53,Riyadh,4205961.0,612.0,72,24.7136,46.6753,72.0,74.0,8.0
54,Singapore,3547809.0,23.0,17,1.296183,103.846181,17.0,28.0,4.0
55,Washington ,75455.0,223.0,51,38.8577,-77.05922,51.0,11.0,5.0
56,Yangon ,4477638.0,30.0,95,16.8256,96.1445,95.0,34.0,7.0
57,Milan ,1236837.0,122.0,34,45.470501,9.19746075,34.0,9.0,15.0
58,Atlanta ,463878.0,320.0,24,33.720192,-84.357056,24.0,10.0,11.0
59,Chongqing,7457600.0,225.0,112,29.56301,106.551557,112.0,19.0,1.0
60,Alexandria,3811516.0,9.0,51,38.8577,-77.05922,51.0,11.0,5.0
61,Nanjing ,7165292.0,22.0,44,32.060255,118.796877,38.0,58.0,1.0
62,Barcelona,1621537.0,15.0,29,41.38534,2.153822,25.0,32.0,5.0
63,Chengdu,7415590.0,499.0,114,30.625014500000002,104.0670559,114.0,28.0,4.0
64,Detroit ,677116.0,183.0,46,42.314936700000004,-83.03636329999999,46.0,9.0,7.0
65,Ankara,3517182.0,850.0,81,39.91832282586664,32.82290472883654,81.0,17.0,22.0
66,Abidjan,3677115.0,76.0,154,5.36,-4.0083,154.0,44.0,4.0
67,Athens,664046.0,70.0,55,37.988028,23.727628,55.0,34.0,25.0
68,Sydney,4627345.0,1.0,7,-33.872468,151.21333700000002,5.0,11.0,6.0
69,Monterrey,28338.0,8.0,78,25.73,-100.30972222222,78.0,45.0,5.0
70,Phoenix ,1563025.0,331.0,26,33.403055555556,-112.07527777778,20.0,29.0,3.0
71,Busan ,3678555.0,26.0,25,35.17955429999999,129.07564159999998,25.0,13.0,5.0
72,Melbourne,4246375.0,58.0,31,-37.807395899999996,144.97,31.0,25.0,10.0
73,Hangzhou ,6241971.0,12.0,139,30.274084999999996,120.15507,139.0,75.0,1.0
74,Algiers,1977663.0,113.0,30,36.7558,3.039114,30.0,10.0,17.0
75,Xi'An ,6501190.0,416.0,149,34.341568,108.940175,149.0,19.0,7.0
76,Qingdao ,3718835.0,16.0,28,36.067082,120.38264,21.0,13.0,13.0
77,Durban,3120282.0,21.0,37,-29.858283,31.027286,37.0,32.0,7.0
78,Kanpur,2823249.0,137.0,183,26.470308799999998,80.32517490000001,183.0,69.0,9.0
79,Addis Ababa,2757729.0,2405.0,53,9.058498,38.761641999999995,53.0,68.0,10.0
80,Jeddah ,2867446.0,21.0,147,21.543485999999998,39.172990000000006,147.0,82.0,13.0
81,Naples ,959470.0,17.0,114,40.853609999999996,14.27167,114.0,13.0,13.0
82,Kabul,3043532.0,1798.0,193,34.554382000000004,69.2046,193.0,27.0,27.0
83,Salvador,525990.0,653.0,38,13.70630556,-89.20011667,38.0,9.0,9.0
