,Cities,Population,Elevation
0,Tokyo,8336599.0,44.0
1,Jakarta,8540121.0,16.0
2,New York ,8175133.0,10.0
3,Seoul,10349312.0,38.0
4,Mumbai ,12691836.0,8.0
5,Sao Paulo,10021295.0,769.0
6,Mexico City,12294193.0,2240.0
7,Delhi,10927986.0,227.0
8,Osaka,2592413.0,24.0
9,Kolkata ,4631392.0,11.0
10,Los Angeles ,3971883.0,89.0
11,Shanghai,22315474.0,12.0
12,Moscow,10381222.0,144.0
13,Beijing ,11716620.0,49.0
14,Buenos Aires,13076300.0,31.0
15,Shenzhen,10358381.0,4.0
16,Istanbul,14804116.0,39.0
17,Paris,2138551.0,42.0
18,Karachi,11624219.0,8.0
19,Nagoya,2191279.0,23.0
20,Chicago ,2720546.0,179.0
21,Lagos,9000000.0,11.0
22,London,7556900.0,25.0
23,Bangkok,5104476.0,12.0
24,Tehran,7153309.0,1178.0
25,Lima,7737002.0,152.0
26,Dongguan,8000000.0,1.0
27,Bogota,7674366.0,2582.0
28,Chennai ,4328063.0,14.0
29,Dhaka,10356500.0,23.0
30,Tianjin ,11090314.0,11.0
31,Hong Kong,7012738.0,60.0
32,Taipei,7871900.0,10.0
33,Lahore,6310888.0,216.0
34,Ho Chi Minh City ,3467331.0,7.0
35,Bangalore,5104047.0,920.0
36,Hyderabad,3597816.0,515.0
37,Johannesburg,2026469.0,1767.0
38,Baghdad,7216000.0,41.0
39,Toronto,2600000.0,175.0
40,Santiago,4837295.0,556.0
41,San Francisco ,864816.0,16.0
42,Philadelphia ,1567442.0,12.0
43,Miami ,441003.0,2.0
44,Madrid,3255944.0,665.0
45,Ahmedabad,3719710.0,56.0
46,Boston ,667137.0,14.0
47,Khartoum,1974647.0,381.0
48,Shenyang,6255921.0,53.0
49,Pune,2935744.0,554.0
50,Riyadh,4205961.0,612.0
51,Singapore,3547809.0,23.0
52,Washington ,75455.0,223.0
53,Yangon ,4477638.0,30.0
54,Milan ,1236837.0,122.0
55,Atlanta ,463878.0,320.0
56,Chongqing,7457600.0,225.0
57,Alexandria,3811516.0,9.0
58,Nanjing ,7165292.0,22.0
59,Barcelona,1621537.0,15.0
60,Chengdu,7415590.0,499.0
61,Detroit ,677116.0,183.0
62,Ankara,3517182.0,850.0
63,Abidjan,3677115.0,76.0
64,Athens,664046.0,70.0
65,Sydney,4627345.0,1.0
66,Monterrey,28338.0,8.0
67,Phoenix ,1563025.0,331.0
68,Busan ,3678555.0,26.0
69,Melbourne,4246375.0,58.0
70,Hangzhou ,6241971.0,12.0
71,Algiers,1977663.0,113.0
72,Xi'An ,6501190.0,416.0
73,Qingdao ,3718835.0,16.0
74,Durban,3120282.0,21.0
75,Kanpur,2823249.0,137.0
76,Addis Ababa,2757729.0,2405.0
77,Jeddah ,2867446.0,21.0
78,Naples ,959470.0,17.0
79,Kabul,3043532.0,1798.0
80,Salvador,525990.0,653.0
81,Harbin ,5878939.0,140.0
82,Cape Town,3433441.0,25.0
83,San Diego ,1394928.0,20.0
84,Seattle ,684451.0,56.0
85,Rome,2318895.0,20.0
86,Taichung,1040725.0,91.0
87,Jaipur,2711758.0,435.0
88,Kaohsiung,1519711.0,9.0
89,Minneapolis ,410939.0,253.0
90,Lucknow,2472011.0,126.0
91,Tel Aviv-Yafo,432892.0,15.0
92,Kyiv ,2797553.0,187.0
93,Mashhad,2307177.0,1003.0
94,Izmir,2500603.0,122.0
95,Rawalpindi,1743101.0,499.0
96,Tashkent,1978028.0,424.0
97,Katowice,317316.0,266.0
98,Changchun,4193073.0,206.0
99,Daegu ,2566540.0,45.0
100,Changsha,3093980.0,67.0
101,Nagpur,2228018.0,319.0
102,Lisbon,517802.0,45.0
103,Frankfurt Am Main,650000.0,113.0
104,Nanchang,2357839.0,20.0
105,Tampa ,369075.0,1.0
106,Dalian,4087733.0,33.0
107,Shijiazhuang,2834942.0,77.0
108,Manchester,395515.0,51.0
109,Fukuoka,1392289.0,3.0
110,Denver ,682545.0,1609.0
111,St. Louis ,315685.0,142.0
112,Colombo,648034.0,1.0
113,Baltimore ,621849.0,10.0
114,Sapporo,1883027.0,26.0
115,Preston,313332.0,34.0
116,Patna,1599920.0,53.0
117,Warsaw,1702139.0,113.0
118,Yokohama,3574443.0,21.0
119,Kunming,3855346.0,1895.0
120,Guiyang,1171633.0,1087.0
121,Zibo,3129228.0,51.0
122,Incheon,2628000.0,43.0
123,Zhengzhou,4253913.0,104.0
124,Taiyuan,3426519.0,795.0
125,Chaoyang ,410005.0,162.0
126,Brasilia,2207718.0,1136.0
127,Zhongshan,,0.0
128,Fuzhou ,1179720.0,14.0
129,Lanzhou,2628426.0,1521.0
130,Xiamen,3531347.0,12.0
131,Zaozhuang,183665.0,79.0
132,Jilin,1881977.0,196.0
133,Linyi,270669.0,69.0
134,Wenzhou,865672.0,10.0
135,Brisbane,2189878.0,27.0
136,Nanchong,7150000.0,287.0
137,Nanning,803788.0,91.0
138,Urumqi,3029372.0,862.0
139,Yantai,719332.0,22.0
140,Fuyang ,170023.0,31.0
141,Tangshan,3372102.0,36.0
142,Hamburg,1739117.0,2.0
143,Budapest,1741041.0,75.0
144,Xuzhou,,35.0
145,Baotou,1301768.0,1020.0
146,Hefei,3310268.0,24.0
147,Vienna,1691468.0,171.0
148,Indore,1837041.0,550.0
149,Belgrade,1273651.0,120.0
150,Suzhou ,5345961.0,10.0
151,Suizhou,323945.0,67.0
152,Nanyang,251532.0,131.0
153,Ningbo,3491597.0,15.0
154,Anshan,1199275.0,55.0
155,Tengzhou,105456.0,73.0
156,Qiqihaer,882364.0,151.0
157,Taian,,
158,Datong,1052678.0,1054.0
159,Kobe,1528478.0,35.0
160,Hama,460602.0,270.0
161,Esfahan,1547164.0,1578.0
162,Luoyang,1390581.0,149.0
163,Quito,1399814.0,2854.0
164,Jinjiang,89623.0,33.0
165,Perth,1896548.0,46.0
166,Daejeon ,1475221.0,46.0
167,Kyoto,1459640.0,50.0
168,Tangerang,1372124.0,18.0
169,Bhopal,1599914.0,523.0
170,Coimbatore,959823.0,411.0
171,Gwangju ,1416938.0,47.0
172,Fushun,1400646.0,83.0
173,Wuxi,3543719.0,10.0
174,Hechuan,97575.0,222.0
175,Wujin,949018.0,9.0
176,Guigang,76430.0,51.0
177,Huhehaote,774477.0,1051.0
178,Santa Cruz,222417.0,10.0
179,Ludhiana,1545368.0,256.0
180,Novosibirsk,1419007.0,164.0
181,Neijiang,546854.0,349.0
182,Weifang,394732.0,30.0
183,Daqing,203488.0,146.0
184,Tongzhou,95647.0,6.0
185,Tabriz,1424641.0,1396.0
186,Huainan,,20.0
187,Kochi,335570.0,58.0
188,Suining,124924.0,291.0
189,Bozhou,174140.0,40.0
190,Zhanjiang,637790.0,29.0
191,Changde,517780.0,42.0
192,Suzhou ,5345961.0,10.0
193,Xintai,222459.0,197.0
194,Handan,1358318.0,66.0
195,Kawasaki,1306785.0,1.0
196,Pingdu,91077.0,59.0
197,Agra,1430055.0,166.0
198,Jiangyin,107918.0,7.0
199,Bursa,1412701.0,155.0
200,Dengzhou,85279.0,23.0
201,Guarulhos,1169577.0,774.0
202,Heze,,50.0
203,Auckland,417910.0,43.0
204,Shantou,5329024.0,17.0
205,Thane,1261517.0,23.0
206,San Antonio ,1469845.0,198.0
207,Xinyang,1590668.0,89.0
208,Luzhou,,256.0
209,Almaty,2000900.0,787.0
210,Changshu,1047700.0,9.0
211,Laiwu,124108.0,182.0
212,Xiaoshan,95234.0,14.0
213,Yiyang,,363.0
214,Liuzhou,,94.0
215,Varanasi,1164404.0,86.0
216,Kampala,1353189.0,1223.0
217,Huaian,,
218,Shiraz,1249942.0,1545.0
219,Kalyan,1262255.0,10.0
220,Quanzhou,,765.0
221,Adana,1248988.0,41.0
222,Bazhong,,455.0
223,Jingzhou,177878.0,39.0
224,Saitama,1193350.0,16.0
225,Prague,1165581.0,202.0
226,Meerut,1223184.0,228.0
227,Hyderabad,3597816.0,515.0
228,Yixing,95530.0,8.0
229,Mianyang,264136.0,471.0
230,Wenling,67433.0,6.0
231,Ottawa,812129.0,71.0
232,Hiroshima,1143841.0,16.0
233,Chifeng,346654.0,570.0
234,Nashik,1289497.0,584.0
235,Rizhao,,10.0
236,Tianshui,3500000.0,1153.0
237,Huzhou,158320.0,6.0
238,Adelaide,1225235.0,56.0
239,Yuzhou,87961.0,126.0
240,Leshan,154477.0,375.0
241,Jabalpur,1030168.0,416.0
242,Jimo,70733.0,25.0
