,cities,aqi,latitude,longitude,pm25,pm10,o3,uvi,date
0,Tokyo,34,35.6414629,139.6981712,30.0,29.0,1.0,1.0,11-30-2021
1,Jakarta,74,-6.182536,106.834236,74.0,78.0,1.0,3.0,11-30-2021
2,New York ,114,40.7127837,-74.0059413,114.0,50.0,2.0,0.0,11-30-2021
3,Seoul,68,37.566535,126.9779692,68.0,23.0,1.0,0.0,11-30-2021
5,Mumbai ,173,19.07283,72.88261,173.0,46.0,9.0,1.0,11-30-2021
6,Sao Paulo,23,-23.544845659,-46.627675592,13.0,80.0,18.0,0.0,11-30-2021
7,Mexico City,114,19.42461,-99.119594,114.0,52.0,13.0,0.0,11-30-2021
8,Delhi,237,28.63576,77.22445,237.0,73.0,7.0,1.0,11-30-2021
9,Osaka,30,34.6937378,135.5021651,30.0,14.0,1.0,1.0,11-30-2021
11,Kolkata ,192,22.56263,88.36304,192.0,69.0,9.0,2.0,11-30-2021
12,Los Angeles ,64,34.06653,-118.22676,57.0,60.0,4.0,1.0,11-30-2021
13,Shanghai,76,31.2047372,121.4489017,76.0,123.0,1.0,1.0,11-30-2021
14,Moscow,12,55.759354,37.595584,21.0,28.0,5.0,0.0,11-30-2021
15,Beijing ,15,39.954592,116.468117,13.0,57.0,1.0,1.0,11-30-2021
16,Buenos Aires,42,-34.657988,-58.342538,42.0,5.0,2.0,0.0,11-30-2021
18,Shenzhen,91,22.543099,114.057868,91.0,28.0,9.0,2.0,11-30-2021
19,Istanbul,24,41.014722,28.954722,68.0,22.0,23.0,0.0,11-30-2021
21,Paris,22,48.856614,2.3522219,31.0,11.0,20.0,0.0,11-30-2021
22,Karachi,267,24.8415,67.0091,267.0,58.0,5.0,1.0,11-30-2021
23,Nagoya,26,35.1814464,136.906398,17.0,18.0,2.0,1.0,11-30-2021
24,Chicago ,33,41.9136,-87.7239,33.0,10.0,8.0,0.0,11-30-2021
25,Lagos,33,6.4404830932617,3.4068150520325,33.0,65.0,3.0,1.0,11-30-2021
26,London,17,51.5073509,-0.1277583,17.0,9.0,18.0,1.0,11-30-2021
27,Bangkok,114,13.7563309,100.5017651,114.0,54.0,6.0,2.0,11-30-2021
29,Tehran,163,35.686719,51.422419,163.0,62.0,1.0,1.0,11-30-2021
30,Lima,130,-11.98164,-76.99925,130.0,22.0,3.0,0.0,11-30-2021
31,Dongguan,72,23.020536,113.751765,72.0,28.0,6.0,2.0,11-30-2021
32,Bogota,13,4.5725,-74.0836,13.0,23.0,5.0,0.0,11-30-2021
33,Chennai ,114,13.08784,80.27847,114.0,19.0,8.0,1.0,11-30-2021
34,Dhaka,199,23.796373,90.424614,199.0,52.0,9.0,1.0,11-30-2021
36,Tianjin ,42,39.084158,117.200983,42.0,31.0,1.0,1.0,11-30-2021
37,Hong Kong,70,22.2796569,114.1719873,70.0,31.0,5.0,2.0,11-30-2021
38,Taipei,65,25.062361,121.526528,65.0,19.0,14.0,1.0,11-30-2021
39,Lahore,158,31.560078,74.33589,158.0,88.0,5.0,1.0,11-30-2021
